category,field,description,application,futureImpact,color
"Resources & Energy","Petroleum Geology","Identifies subsurface hydrocarbon reservoirs","Now repurposed for hydrogen storage and CO2 injection sites in depleted reservoirs","Transitions fossil fuel expertise to clean energy storage and carbon sequestration","#F4A460"
"Resources & Energy","Mining Geology","Locates and characterizes mineral ore deposits","Supplies lithium, cobalt, and rare earths for batteries and renewable technology","Enables electric vehicle revolution and grid-scale energy storage systems","#F4A460"
"Resources & Energy","Geothermal Energy","Maps underground heat sources and reservoir potential","Designs power plants extracting Earth's internal heat for electricity generation","Provides 24/7 renewable baseload power without weather dependency","#F4A460"
"Resources & Energy","Hydrogeology","Tracks groundwater flow and aquifer systems","Manages aquifer recharge to sustain water supplies during prolonged droughts","Ensures water security for agriculture and cities in water-stressed regions","#F4A460"
"Resources & Energy","Critical Minerals","Identifies deposits of technology-essential elements","Secures supply chains for wind turbines, solar panels, and electric motors","Enables renewable energy transition by providing necessary raw materials","#F4A460"
"Resources & Energy","Economic Geology","Assesses ore body economics and extraction feasibility","Determines sustainable extraction rates balancing profit with environmental protection","Optimizes resource use while minimizing ecological footprint of mining","#F4A460"
"Resources & Energy","Hydrogen Storage","Maps porous rock formations for hydrogen fuel storage","Stores hydrogen underground for seasonal renewable energy balancing","Solves intermittency problem of solar and wind power through long-term storage","#F4A460"
"Resources & Energy","Nuclear Waste Disposal","Analyzes geological stability over millennia","Selects repositories in stable rock formations for radioactive waste isolation","Isolates nuclear waste from biosphere for 100,000+ years protecting future generations","#F4A460"
"Environmental & Climate","Palaeoclimatology","Reconstructs past climates from geological records","Analyzes ice cores and sediments to validate current climate models","Provides 800,000-year climate context for understanding current warming rates","#4A90A4"
"Environmental & Climate","Carbon Capture & Storage","Identifies suitable rock formations for CO2 injection","Injects CO2 underground permanently in saline aquifers and depleted reservoirs","Removes gigatons of carbon from atmosphere to meet net-zero targets","#4A90A4"
"Environmental & Climate","Environmental Geochemistry","Tracks pollutant pathways in soil, water, and air","Maps contaminant spread from industrial sites before health impacts occur","Prevents population exposure to toxins through early detection and remediation","#4A90A4"
"Environmental & Climate","Contaminated Land Management","Remediates brownfield sites for safe reuse","Makes toxic urban land safe for housing and parks through soil treatment","Reclaims urban spaces instead of sprawling development into natural areas","#4A90A4"
"Environmental & Climate","Erosion Control","Designs natural slope stabilization techniques","Uses bioengineering to prevent soil loss on agricultural land and hillsides","Protects food production capacity and prevents reservoir sedimentation","#4A90A4"
"Environmental & Climate","Soil Science","Maps soil fertility, composition, and degradation","Guides sustainable farming practices to maintain soil health and productivity","Maintains food security for growing population while preventing land degradation","#4A90A4"
"Environmental & Climate","Oceanography","Monitors ocean acidification, warming, and circulation","Predicts fish migration patterns as oceans warm, tracks marine heatwaves","Helps fishing communities adapt to changing seas and protects marine ecosystems","#4A90A4"
"Environmental & Climate","GIS & Remote Sensing","Analyzes satellite imagery and spatial data","Detects illegal deforestation, mining, or pollution in real-time from space","Enables rapid environmental enforcement and natural resource monitoring globally","#4A90A4"
"Environmental & Climate","Marine Geology","Studies seafloor geology and submarine processes","Maps offshore renewable energy sites, underwater landslide hazards, and mineral resources","Enables sustainable ocean resource development and submarine hazard mitigation","#4A90A4"
"Environmental & Climate","Quaternary Geology","Studies the last 2.6 million years of Earth history","Reconstructs recent climate changes and landscape evolution relevant to human timescales","Provides context for current environmental changes and informs restoration ecology","#4A90A4"
"Applied & Society","Engineering Geology","Assesses ground stability for construction","Determines foundation requirements preventing building collapse on unstable ground","Ensures infrastructure safety as urbanization accelerates in geologically complex terrain","#9B59B6"
"Applied & Society","Medical Geology","Links geological factors to human and animal health","Identifies arsenic, radon, asbestos exposure from natural geological sources","Prevents cancers and respiratory diseases through mapping and early intervention","#9B59B6"
"Applied & Society","Forensic Geology","Analyzes soil and mineral evidence in criminal cases","Links suspects to crime scenes through unique geological fingerprints","Solves murders, trafficking cases, and war crimes through trace evidence","#9B59B6"
"Applied & Society","Urban Geology","Maps subsurface geology beneath cities","Prevents sinkholes, manages subsidence, and characterizes ground for tunnels","Keeps metro systems and buildings safe as cities grow and develop underground space","#9B59B6"
"Applied & Society","Geoarchaeology","Applies geological methods to archaeological sites","Reconstructs past environments showing how ancient societies adapted to climate","Reveals resilience strategies from past civilizations facing environmental change","#9B59B6"
"Applied & Society","Geohazard Risk Assessment","Models combined hazard risks (floods, earthquakes, landslides)","Creates risk maps integrating multiple hazards for comprehensive assessment","Informs building codes, insurance rates, and emergency preparedness plans","#9B59B6"
"Applied & Society","Geotourism","Develops sustainable geological heritage tourism","Generates income for communities while protecting geological sites","Funds conservation through tourism while educating public about Earth science","#9B59B6"
"Applied & Society","Geoscience Policy","Translates geological research for policy makers","Advises governments on resource management, hazard mitigation, and environmental policy","Ensures evidence-based decision-making on geological issues affecting society","#9B59B6"
"Emerging & Digital Fields","Digital Geosciences","Integrates digital technologies with geological workflows","Creates virtual 3D geological models, digital field mapping, and cloud-based data sharing","Accelerates geological research and makes data accessible globally in real-time","#00D4FF"
"Emerging & Digital Fields","Astrogeology","Studies geology of asteroids, moons, and planets","Identifies water ice and minerals on celestial bodies for space resource utilization","Enables long-term space missions and permanent human settlement beyond Earth","#00D4FF"
"Emerging & Digital Fields","Geomicrobiology","Studies microbes in extreme geological environments","Discovers organisms for bioremediation of oil spills and toxic waste","Cleans up environmental contamination naturally using microbial processes","#00D4FF"
"Emerging & Digital Fields","Nano-geoscience","Analyzes minerals and processes at nanometer scale","Improves mineral extraction efficiency at atomic level reducing waste","Minimizes mining environmental impact through precision extraction techniques","#00D4FF"
"Emerging & Digital Fields","Geoinformatics","Integrates AI and machine learning with geological data","Predicts mineral deposits using machine learning on exploration datasets","Accelerates resource discovery while reducing exploration environmental footprint","#00D4FF"
"Emerging & Digital Fields","Environmental DNA Analysis","Extracts ancient DNA from sediments","Reconstructs past ecosystems showing resilience to environmental changes","Informs conservation by revealing how ecosystems recovered from past disruptions","#00D4FF"
"Emerging & Digital Fields","Geohealth","Combines geology with public health data analytics","Maps disease clusters to geological and environmental factors","Prevents exposure to natural geological health hazards before outbreaks occur","#00D4FF"
"Emerging & Digital Fields","Climate Adaptation Planning","Uses geological data to model climate adaptation scenarios","Designs resilient infrastructure based on geological constraints and climate projections","Helps cities adapt to unavoidable climate impacts through geological understanding","#00D4FF"
"Emerging & Digital Fields","Geohazard AI Modeling","Trains AI on historical disaster data","Predicts cascading multi-hazard events (earthquake triggering landslides and tsunamis)","Provides earlier warnings for complex hazard chains saving more lives","#00D4FF"
"Emerging & Digital Fields","3D Geological Modeling","Creates three-dimensional subsurface visualizations","Models complex geological structures for resource exploration and hazard assessment","Improves decision-making by visualizing hidden geological relationships","#00D4FF"
"Emerging & Digital Fields","Geostatistics","Applies statistical methods to spatial geological data","Quantifies uncertainty in resource estimates and interpolates sparse data","Optimizes drilling locations and reduces exploration costs through data analysis","#00D4FF"
"Emerging & Digital Fields","Machine Learning in Geoscience","Applies neural networks to geological pattern recognition","Automates mineral identification, predicts earthquakes, classifies rock types from images","Accelerates geological analysis and discovers patterns invisible to human observers","#00D4FF"
